,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
577,Davide Zappacosta\7fe90ccd,it ITA,DF,Atalanta,29-245,1992,14.7,18,7,7,7,4,8,15,53.3,7,231,55,23.8,68,95,68,31,2,0,29,12,30,13,0,Matches
578,Simone Zaza\9592289a,it ITA,FWMF,Torino,30-231,1991,1.3,3,2,1,1,1,1,1,100.0,0,19,7,36.8,2,6,11,1,0,0,1,0,3,5,0,Matches
579,Marvin Zeegelaar\8abd0c03,nl NED,DF,Udinese,31-183,1990,2.7,8,8,6,2,0,4,9,44.4,5,48,17,35.4,25,19,4,5,1,0,4,6,14,10,0,Matches
580,Piotr Zieliński\a5296e55,pl POL,MF,Napoli,27-267,1994,15.9,16,11,5,8,3,5,12,41.7,7,199,55,27.6,28,100,71,23,5,0,18,10,26,3,0,Matches
581,David Zima\acf7e795,cz CZE,DF,Torino,21-095,2000,9.3,11,6,5,5,1,4,8,50.0,4,113,41,36.3,53,52,8,11,7,0,4,19,30,40,2,Matches
582,Jeroen Zoet\cc1a0c57,nl NED,GK,Spezia,31-036,1991,7.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
583,Nadir Zortea\82598b71,it ITA,DFMF,Salernitana,22-237,1999,8.7,11,5,7,2,2,3,9,33.3,6,81,22,27.2,32,31,18,12,2,0,10,16,27,12,0,Matches
584,Szymon Żurkowski\4e1d5e59,pl POL,MF,Empoli,24-139,1997,14.2,31,22,14,14,3,8,23,34.8,15,250,61,24.4,88,103,59,26,4,0,22,28,59,16,2,Matches
585,Milan Đurić\405f6586,ba BIH,FW,Salernitana,31-265,1990,11.0,3,2,1,0,2,1,1,100.0,0,88,22,25.0,2,37,49,3,2,0,1,2,5,15,0,Matches
586,Filip Đuričić\eccbe56a,rs SRB,MFFW,Sassuolo,30-012,1992,7.0,12,7,9,2,1,1,4,25.0,3,106,33,31.1,21,59,26,7,1,0,6,5,17,0,0,Matches
