,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
112,Jean-Charles Castelletto\e0f3a1f6,cm CMR,DF,Nantes,27-016,1995,15.9,28,18,21,7,0,11,20,55.0,9,129,36,27.9,77,49,3,22,11,2,11,27,55,61,0,Matches
113,Zeki Çelik\31a62dc7,tr TUR,DF,Lille,24-359,1997,17.2,42,25,27,13,2,18,31,58.1,13,258,73,28.3,116,101,41,37,3,0,34,30,72,26,0,Matches
114,Fabien Centonze\3c6bbbab,fr FRA,DF,Metz,26-026,1996,17.0,42,26,25,13,4,13,28,46.4,15,238,71,29.8,102,95,41,41,6,0,35,48,90,47,0,Matches
115,Leonardo César Jardim\f5dfc256,br BRA,GK,Lille,26-328,1995,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Nassim Chadli\5c61496e,fr FRA,MFDF,Troyes,20-198,2001,1.1,3,3,2,0,1,2,3,66.7,1,25,3,12.0,11,9,5,2,0,0,2,3,6,1,0,Matches
117,Mehdi Chahiri\1787195f,ma MAR,MF,Strasbourg,25-201,1996,0.2,1,1,1,0,0,1,1,100.0,0,3,1,33.3,1,0,2,0,0,0,0,0,1,0,0,Matches
118,Dylan Chambost\dbde4959,fr FRA,MFFW,Troyes,24-176,1997,7.2,18,11,7,8,3,5,18,27.8,13,147,40,27.2,48,76,23,8,1,0,7,6,24,7,0,Matches
119,Brendan Chardonnet\16aa7d4c,fr FRA,DF,Brest,27-051,1994,19.0,30,18,21,7,2,18,27,66.7,9,172,68,39.5,116,51,5,38,23,1,15,61,91,126,1,Matches
120,Xavier Chavalerin\279ddf6a,fr FRA,MFDF,Reims,30-341,1991,2.4,4,2,2,1,1,1,3,33.3,2,30,13,43.3,9,14,7,2,0,0,2,7,11,4,1,Matches
121,Xavier Chavalerin\279ddf6a,fr FRA,MF,Troyes,30-341,1991,17.0,38,26,11,23,4,9,29,31.0,20,312,90,28.8,92,164,56,24,3,0,21,22,60,27,0,Matches
122,Rayan Cherki\b34c63a5,fr FRA,FWMF,Lyon,18-178,2003,4.9,5,3,1,4,0,1,4,25.0,3,63,15,23.8,6,40,17,2,0,0,2,4,9,0,0,Matches
123,Pedro Chirivella\68a26d51,es ESP,MF,Nantes,24-264,1997,20.4,40,24,9,21,10,14,48,29.2,34,405,102,25.2,107,223,75,18,1,0,17,31,71,7,0,Matches
124,Joris Chotard\7909ffa4,fr FRA,MF,Montpellier,20-140,2001,20.5,36,23,23,11,2,17,45,37.8,28,245,62,25.3,100,117,28,20,8,0,12,64,100,41,0,Matches
